"","ModuleID","Species","GeneID"
"430",92,"OLI","R031922c3g1_i02"
"431",93,"AEP","g26445"
"432",93,"OLI","R018168c1g1_i01"
"433",94,"AEP","g27243"
"434",94,"OLI","R004469c0g1_i01"
"435",95,"AEP","g26112"
"436",95,"OLI","R039878c1g1_i01"
"437",96,"AEP","g19273"
"438",96,"AEP","g18783"
"439",96,"AEP","g29022"
"440",97,"AEP","g2357"
"441",97,"OLI","R039783c6g3_i03"
"442",98,"AEP","g25168"
"443",98,"OLI","R037690c0g2_i01"
"444",99,"AEP","g24246"
"445",99,"OLI","R038448c1g1_i01"
"446",100,"AEP","g25482"
"447",100,"AEP","g28768"
"448",100,"AEP","g2955"
"449",100,"AEP","g2959"
"450",101,"AEP","g25094"
"451",101,"OLI","R038247c1g2_i01"
"452",102,"AEP","g15590"
"453",102,"AEP","g19973"
"454",103,"AEP","g20466"
"455",103,"OLI","R030085c0g1_i02"
"456",104,"AEP","g26193"
"457",104,"OLI","R040486c8g3_i02"
"458",105,"AEP","g23932"
"459",105,"OLI","R036437c0g1_i06"
"460",106,"AEP","g27494"
"461",106,"OLI","R039267c2g2_i06"
"462",107,"AEP","g12970"
"463",107,"AEP","g27083"
"464",107,"OLI","R038793c0g1_i01"
"465",108,"AEP","g10950"
"466",108,"OLI","R032295c0g1_i01"
"467",109,"AEP","g13002"
"468",109,"AEP","g21119"
"469",110,"AEP","g17631"
"470",110,"OLI","R033521c0g1_i01"
"471",111,"AEP","g13989"
"472",111,"OLI","R038157c0g4_i04"
"473",112,"AEP","g24930"
"474",112,"OLI","R038962c0g1_i03"
"475",113,"AEP","g26616"
"476",113,"OLI","R039414c1g1_i01"
"477",114,"AEP","g18074"
"478",114,"OLI","R031578c0g1_i01"
"479",115,"AEP","g15343"
"480",115,"OLI","R039593c0g1_i01"
"481",116,"AEP","g2328"
"482",116,"OLI","R013156c0g1_i01"
"483",117,"AEP","g23471"
"484",117,"OLI","R036583c0g1_i01"
"485",118,"AEP","g11287"
"486",118,"OLI","R033727c0g1_i09"
"487",119,"AEP","g23108"
"488",119,"OLI","R039042c0g1_i03"
"489",120,"AEP","g25102"
"490",120,"OLI","R039389c0g2_i05"
"491",121,"AEP","g31634"
"492",121,"AEP","g31637"
"493",121,"OLI","R038110c0g1_i01"
"494",122,"AEP","g2954"
"495",122,"AEP","g29976"
"496",122,"OLI","R033742c0g1_i01"
"497",123,"AEP","g25004"
"498",123,"OLI","R035628c0g2_i01"
"499",124,"AEP","g2452"
"500",124,"AEP","g28793"
"501",124,"OLI","R038549c0g1_i01"
"502",125,"AEP","g26563"
"503",125,"OLI","R040104c0g1_i01"
"504",126,"AEP","g31652"
"505",126,"OLI","R029055c0g1_i01"
"506",127,"AEP","g1679"
"507",127,"OLI","R015147c0g1_i01"
"508",128,"AEP","g3035"
"509",128,"OLI","R041148c0g1_i03"
"510",129,"AEP","g28729"
"511",129,"OLI","R038057c0g1_i03"
"512",130,"AEP","g30473"
"513",130,"OLI","R035647c0g1_i01"
"514",131,"AEP","g1025"
"515",131,"AEP","g28374"
"516",131,"OLI","R029302c0g1_i01"
"517",132,"AEP","g2487"
"518",132,"OLI","R037043c0g1_i09"
"519",133,"AEP","g15078"
"520",133,"OLI","R035342c0g1_i01"
"521",134,"AEP","g3297"
"522",134,"OLI","R040014c0g1_i11"
"523",135,"AEP","g11311"
"524",135,"AEP","g17953"
"525",135,"AEP","g2661"
"526",135,"OLI","R015341c0g1_i01"
"527",136,"AEP","g22058"
"528",136,"OLI","R035424c0g2_i02"
"529",137,"AEP","g31684"
"530",137,"OLI","R039314c2g3_i01"
"531",138,"AEP","g32934"
"532",138,"OLI","R041406c0g3_i01"
"533",139,"AEP","g1513"
"534",139,"OLI","R028115c0g1_i03"
"535",140,"AEP","g10790"
"536",140,"OLI","R041328c1g1_i01"
"537",141,"AEP","g3739"
"538",141,"OLI","R040978c1g2_i01"
"539",141,"OLI","R024498c0g1_i01"
"540",142,"AEP","g30958"
"541",142,"OLI","R039625c0g2_i09"
"542",143,"AEP","g11370"
"543",143,"AEP","g3906"
"544",144,"AEP","g10527"
"545",144,"OLI","R035207c0g1_i01"
"546",145,"AEP","g19739"
"547",145,"OLI","R039124c0g1_i03"
"548",146,"AEP","g17483"
"549",146,"OLI","R037226c2g4_i01"
"550",147,"AEP","g33581"
"551",147,"OLI","R028192c0g2_i01"
"552",148,"AEP","g31427"
"553",148,"OLI","R038565c0g1_i01"
"554",149,"AEP","g33739"
"555",149,"OLI","R039029c1g1_i01"
"556",150,"AEP","g21853"
"557",150,"OLI","R038971c0g1_i05"
"558",151,"AEP","g29864"
"559",151,"OLI","R036210c0g1_i01"
"560",152,"AEP","g26895"
"561",152,"OLI","R034579c1g2_i01"
"562",153,"AEP","g32334"
"563",153,"OLI","R035878c0g3_i01"
"564",154,"AEP","g32585"
"565",154,"OLI","R036800c1g1_i01"
"566",155,"AEP","g32490"
"567",155,"OLI","R033830c1g1_i01"
"568",156,"AEP","g23589"
"569",156,"OLI","R040342c0g1_i02"
"570",157,"AEP","g29235"
"571",157,"OLI","R030514c0g1_i02"
"572",158,"AEP","g4715"
"573",158,"OLI","R029533c1g1_i01"
"574",158,"OLI","R037432c1g1_i02"
"575",159,"AEP","g2738"
"576",159,"AEP","g6414"
"577",159,"OLI","R040214c0g2_i01"
"578",160,"AEP","g2234"
"579",160,"AEP","g5091"
"580",161,"AEP","g3368"
"581",161,"OLI","R033811c0g4_i01"
"582",162,"AEP","g31083"
"583",162,"AEP","g5034"
"584",162,"OLI","R038828c0g1_i01"
"585",163,"AEP","g19293"
"586",163,"OLI","R026837c0g1_i01"
"587",164,"AEP","g4308"
"588",164,"OLI","R038181c0g6_i05"
"589",165,"AEP","g5394"
"590",165,"OLI","R041096c0g1_i01"
"591",166,"AEP","g319"
"592",166,"OLI","R038934c1g1_i07"
"593",167,"AEP","g31686"
"594",167,"AEP","g5698"
"595",167,"OLI","R016646c0g1_i01"
"596",168,"AEP","g27219"
"597",168,"OLI","R032968c0g1_i01"
"598",169,"AEP","g4509"
"599",169,"OLI","R030608c0g1_i01"
"600",170,"AEP","g4924"
"601",170,"OLI","R054659c0g1_i01"
"602",171,"AEP","g31151"
"603",171,"OLI","R036828c0g1_i01"
"604",172,"AEP","g22651"
"605",172,"OLI","R033351c0g1_i01"
"606",173,"AEP","g2020"
"607",173,"AEP","g6128"
"608",174,"AEP","g6126"
"609",174,"OLI","R039948c0g1_i04"
"610",175,"AEP","g21010"
"611",175,"OLI","R035719c0g1_i02"
"612",176,"AEP","g2609"
"613",176,"OLI","R036905c0g1_i02"
"614",177,"AEP","g33642"
"615",177,"OLI","R017332c0g1_i01"
"616",178,"AEP","g6621"
"617",178,"OLI","R028966c0g1_i01"
"618",179,"AEP","g33531"
"619",179,"OLI","R041550c3g1_i01"
"620",180,"AEP","g5226"
"621",180,"OLI","R032775c0g1_i01"
"622",181,"AEP","g2265"
"623",181,"OLI","R039652c0g1_i05"
"624",182,"AEP","g23586"
"625",182,"OLI","R035463c0g2_i03"
"626",183,"AEP","g23941"
"627",183,"OLI","R026158c0g1_i02"
"628",184,"AEP","g6875"
"629",184,"OLI","R008198c0g1_i01"
"630",185,"AEP","g27776"
"631",185,"AEP","g7752"
"632",185,"OLI","R033736c0g1_i01"
"633",186,"AEP","g11061"
"634",186,"OLI","R028777c0g1_i01"
"635",187,"AEP","g8095"
"636",187,"OLI","R033062c0g1_i02"
"637",188,"AEP","g33374"
"638",188,"OLI","R039891c1g1_i01"
"639",189,"AEP","g21754"
"640",189,"OLI","R033676c0g1_i02"
"641",190,"AEP","g7393"
"642",190,"OLI","R035408c0g1_i01"
"643",191,"AEP","g10362"
"644",191,"AEP","g10230"
"645",191,"AEP","g11974"
"646",191,"AEP","g12582"
"647",191,"AEP","g12592"
"648",191,"AEP","g13"
"649",191,"AEP","g12583"
"650",191,"AEP","g14184"
"651",191,"AEP","g13436"
"652",191,"AEP","g11261"
"653",191,"AEP","g14182"
"654",191,"AEP","g14752"
"655",191,"AEP","g1399"
"656",191,"AEP","g14753"
"657",191,"AEP","g14332"
"658",191,"AEP","g14850"
"659",191,"AEP","g15251"
"660",191,"AEP","g15910"
"661",191,"AEP","g1458"
"662",191,"AEP","g15933"
"663",191,"AEP","g16900"
"664",191,"AEP","g16373"
"665",191,"AEP","g16031"
"666",191,"AEP","g1866"
"667",191,"AEP","g19002"
"668",191,"AEP","g1930"
"669",191,"AEP","g19393"
"670",191,"AEP","g15454"
"671",191,"AEP","g19468"
"672",191,"AEP","g19199"
"673",191,"AEP","g19395"
"674",191,"AEP","g22714"
"675",191,"AEP","g22606"
"676",191,"AEP","g2276"
"677",191,"AEP","g20468"
"678",191,"AEP","g19881"
"679",191,"AEP","g22880"
"680",191,"AEP","g24810"
"681",191,"AEP","g20505"
"682",191,"AEP","g26238"
"683",191,"AEP","g25720"
"684",191,"AEP","g26429"
"685",191,"AEP","g26334"
"686",191,"AEP","g2794"
"687",191,"AEP","g23183"
"688",191,"AEP","g27712"
"689",191,"AEP","g299"
"690",191,"AEP","g25124"
"691",191,"AEP","g29159"
"692",191,"AEP","g31679"
"693",191,"AEP","g30258"
"694",191,"AEP","g32596"
"695",191,"AEP","g27637"
"696",191,"AEP","g31647"
"697",191,"AEP","g14296"
"698",191,"AEP","g449"
"699",191,"AEP","g4045"
"700",191,"AEP","g4265"
"701",191,"AEP","g512"
"702",191,"AEP","g28744"
"703",191,"AEP","g31261"
"704",191,"AEP","g5723"
"705",191,"AEP","g5825"
"706",191,"AEP","g5986"
"707",191,"AEP","g10231"
"708",191,"AEP","g8401"
"709",191,"AEP","g6595"
"710",191,"AEP","g7299"
"711",191,"AEP","g8403"
"712",191,"AEP","g8404"
"713",191,"AEP","g8407"
"714",191,"AEP","g7523"
"715",191,"AEP","g8409"
"716",191,"AEP","g8415"
"717",191,"AEP","g8461"
"718",191,"AEP","g85"
"719",191,"AEP","g5987"
"720",191,"AEP","g6596"
"721",191,"AEP","g7186"
"722",191,"AEP","g7395"
"723",191,"AEP","g7685"
"724",191,"OLI","R036306c0g2_i01"
"725",191,"OLI","R036631c0g2_i03"
"726",191,"OLI","R038213c0g2_i01"
"727",191,"OLI","R047978c0g1_i01"
"728",191,"OLI","R034336c0g1_i02"
"729",191,"OLI","R040630c0g1_i01"
"730",191,"OLI","R039420c0g1_i01"
"731",191,"OLI","R030703c0g1_i01"
"732",191,"OLI","R039628c0g1_i02"
"733",191,"OLI","R039027c3g1_i01"
"734",191,"OLI","R035246c0g2_i01"
"735",191,"OLI","R036105c0g1_i03"
"736",191,"OLI","R037283c0g1_i02"
"737",191,"OLI","R038118c0g1_i01"
"738",191,"OLI","R037176c0g1_i01"
"739",191,"OLI","R038651c1g1_i02"
"740",191,"OLI","R041210c0g1_i03"
"741",191,"OLI","R026240c0g1_i01"
"742",191,"OLI","R038137c0g1_i01"
"743",191,"OLI","R040388c0g2_i01"
"744",191,"OLI","R034704c0g2_i01"
"745",191,"OLI","R039233c0g2_i03"
"746",191,"OLI","R037168c0g1_i02"
"747",191,"OLI","R036084c0g1_i02"
"748",191,"OLI","R036423c0g1_i01"
"749",191,"OLI","R040227c0g2_i01"
"750",191,"OLI","R038585c0g1_i04"
"751",191,"OLI","R039288c0g3_i03"
"752",191,"OLI","R037558c0g1_i02"
"753",191,"OLI","R028391c0g1_i01"
"754",191,"OLI","R026435c0g1_i01"
"755",191,"OLI","R037578c0g1_i01"
"756",191,"OLI","R040597c0g1_i03"
"757",191,"OLI","R039500c0g1_i01"
"758",191,"OLI","R039425c0g1_i02"
"759",191,"OLI","R036929c0g1_i02"
"760",191,"OLI","R039894c0g1_i02"
"761",191,"OLI","R039197c0g1_i02"
"762",191,"OLI","R041043c0g2_i05"
"763",191,"OLI","R036385c0g1_i01"
"764",191,"OLI","R038083c0g1_i03"
"765",191,"OLI","R034671c0g1_i02"
"766",191,"OLI","R036554c0g1_i02"
"767",191,"OLI","R040339c2g3_i01"
"768",191,"OLI","R040397c0g1_i01"
"769",191,"OLI","R039885c0g2_i03"
"770",191,"OLI","R039959c0g1_i01"
"771",191,"OLI","R036115c0g1_i02"
"772",191,"OLI","R032519c0g1_i01"
"773",191,"OLI","R040361c0g3_i01"
"774",191,"OLI","R034429c0g2_i03"
"775",191,"OLI","R041281c0g1_i01"
"776",191,"OLI","R028477c0g1_i01"
"777",191,"OLI","R034668c0g2_i03"
"778",191,"OLI","R035506c0g1_i01"
"779",191,"OLI","R040660c0g1_i02"
